Test 2013-5-14,Write 51 curve data points .DAT file.
   696.000   331.000
   716.815   305.939
   725.575   286.550
   729.814   275.407
   731.664   268.832
   732.600   262.287
   733.520   256.408
   734.440   250.876
   735.360   244.891
   736.276   239.659
   736.912   234.715
   736.533   229.280
   734.733   223.947
   732.120   219.200
   729.246   214.373
   725.884   208.397
   722.657   201.836
   718.180   194.137
   713.214   184.753
   708.563   173.695
   703.117   161.332
   696.360   147.408
   687.498   132.245
   674.107   118.737
   655.980   108.960
   636.000   104.333
   616.020   108.960
   597.893   118.737
   584.502   132.245
   575.640   147.408
   568.883   161.332
   563.437   173.695
   558.786   184.753
   553.820   194.137
   549.343   201.836
   546.116   208.397
   542.754   214.373
   539.880   219.200
   537.267   223.947
   535.467   229.280
   535.088   234.715
   535.724   239.659
   536.640   244.891
   537.560   250.876
   538.480   256.408
   539.400   262.287
   540.336   268.832
   542.186   275.407
   546.425   286.550
   555.185   305.939
   576.000   331.000
